Rank,French,Spanish,Word_IPA_ES,Word_IPA_LATAM,Phrase_ES,Phrase_FR,Phrase_IPA_ES,Phrase_ES_LATAM,Phrase_FR_LATAM,Phrase_IPA_LATAM,Notes,Exercise_Suggestions
1,de,de,/de/,/de/,El libro de María está sobre la mesa.,Le livre de Marie est sur la table.,/el libɾo de maɾia esta sobɾe la mesa./,El libro de María está sobre la mesa.,Le livre de Marie est sur la table.,/el libɾo de maɾia esta sobɾe la mesa./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
2,la,la,/la/,/la/,La casa es hermosa.,La maison est belle.,/la kasa es ermosa./,La casa es hermosa.,La maison est belle.,/la kasa es ermosa./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
3,et,y,/i/,/i/,Pedro y María van al cine.,Pierre et Marie vont au cinéma.,/pedɾo i maɾia ban al θine./,Pedro y María van al cine.,Pierre et Marie vont au cinéma.,/pedɾo i maɾia ban al sine./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
4,le,el,/el/,/el/,El gato duerme en el sofá.,Le chat dort sur le canapé.,/el gato dueɾme en el sofa./,El gato duerme en el sofá.,Le chat dort sur le canapé.,/el gato dueɾme en el sofa./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
5,à,a,/a/,/a/,Voy a la escuela.,Je vais à l'école.,/boy a la eskuela./,Voy a la escuela.,Je vais à l'école.,/boy a la eskuela./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
6,les,los,/los/,/los/,Los niños juegan en el parque.,Les enfants jouent dans le parc.,/los niɲos ksuegan en el parke./,Los niños juegan en el parque.,Les enfants jouent dans le parc.,/los niɲos ksuegan en el parke./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
7,un,un,/un/,/un/,Tengo un perro.,J'ai un chien.,/tengo un pero./,Tengo un perro.,J'ai un chien.,/tengo un pero./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
8,du,del,/del/,/del/,Él bebe café.,Il boit du café.,/el bebe kafe./,Él bebe café.,Il boit du café.,/el bebe kafe./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
9,pour,para,/paɾa/,/paɾa/,Es un regalo para ti.,C'est un cadeau pour toi.,/es un regalo paɾa ti./,Es un regalo para ti.,C'est un cadeau pour toi.,/es un regalo paɾa ti./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
10,dans,en,/en/,/en/,Él está en la casa.,Il est dans la maison.,/el esta en la kasa./,Él está en la casa.,Il est dans la maison.,/el esta en la kasa./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
11,qui,quien,/kien/,/kien/,La persona que habla es amable.,La personne qui parle est gentille.,/la peɾsona ke abla es amable./,La persona que habla es amable.,La personne qui parle est gentille.,/la peɾsona ke abla es amable./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
12,ne,no,/no/,/no/,No sé.,Je ne sais pas.,/no se./,No sé.,Je ne sais pas.,/no se./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
13,pas,no,/no/,/no/,Él no viene.,Il ne vient pas.,/el no biene./,Él no viene.,Il ne vient pas.,/el no biene./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
14,ce,este,/este/,/este/,Este libro es interesante.,Ce livre est intéressant.,/este libɾo es interesante./,Este libro es interesante.,Ce livre est intéressant.,/este libɾo es interesante./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
15,se,se,/se/,/se/,Él se levanta temprano.,Il se lève tôt.,/el se lebanta temprano./,Él se levanta temprano.,Il se lève tôt.,/el se lebanta temprano./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
16,au,al,/al/,/al/,Él va al mercado.,Il va au marché.,/el ba al merkado./,Él va al mercado.,Il va au marché.,/el ba al merkado./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
17,avec,con,/kon/,/kon/,Hablo con mi amigo.,Je parle avec mon ami.,/ablo kon mi amigo./,Hablo con mi amigo.,Je parle avec mon ami.,/ablo kon mi amigo./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
18,tout,todo,/todo/,/todo/,Todo es posible.,Tout est possible.,/todo es posible./,Todo es posible.,Tout est possible.,/todo es posible./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
19,mais,pero,/peɾo/,/peɾo/,"Quiero ir, pero estoy cansado.","Je veux y aller, mais je suis fatigué.","/kieɾo ir, peɾo estoy kansado./","Quiero ir, pero estoy cansado.","Je veux y aller, mais je suis fatigué.","/kieɾo ir, peɾo estoy kansado./",,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
20,comme,como,/komo/,/komo/,Él trabaja como médico.,Il travaille comme médecin.,/el tɾabaksa komo mediko./,Él trabaja como médico.,Il travaille comme médecin.,/el tɾabaksa komo mediko./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
21,ou,o,/o/,/o/,¿Quieres té o café?,Veux‑tu du thé ou du café ?,/¿kieres te o kafe?/,¿Quieres té o café?,Veux‑tu du thé ou du café ?,/¿kieres te o kafe?/,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
22,si,si,/si/,/si/,"Si quieres, podemos irnos.","Si tu veux, nous pouvons partir.","/si kieres, podemos irnos./","Si quieres, podemos irnos.","Si tu veux, nous pouvons partir.","/si kieres, podemos irnos./",,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
23,son,su,/su/,/su/,Es su libro.,C'est son livre.,/es su libro./,Es su libro.,C'est son livre.,/es su libro./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
24,sur,sobre,/sobɾe/,/sobɾe/,El gato está sobre la mesa.,Le chat est sur la table.,/el gato esta sobɾe la mesa./,El gato está sobre la mesa.,Le chat est sur la table.,/el gato esta sobɾe la mesa./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
25,être,ser,/seɾ/,/seɾ/,Él quiere ser feliz.,Il veut être heureux.,/el kieɾe seɾ feliθ./,Él quiere ser feliz.,Il veut être heureux.,/el kieɾe seɾ felis./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
26,avoir,tener,/teneɾ/,/teneɾ/,Me gusta tener amigos.,J'aime avoir des amis.,/me gusta teneɾ amigos./,Me gusta tener amigos.,J'aime avoir des amis.,/me gusta teneɾ amigos./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
27,je,yo,/ʝo/,/ʝo/,Yo estoy aquí.,Je suis ici.,/ʝo estoy aki./,Yo estoy aquí.,Je suis ici.,/ʝo estoy aki./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
28,vous,usted,/usted/,/usted/,Usted está invitado.,Vous êtes invités.,/usted esta inbitado./,Usted está invitado.,Vous êtes invités.,/usted esta inbitado./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
29,il,él,/el/,/el/,Él llega tarde.,Il est en retard.,/el ʝega tarde./,Él llega tarde.,Il est en retard.,/el ʝega tarde./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
30,elle,ella,/eʝa/,/eʝa/,Ella canta bien.,Elle chante bien.,/eʝa kanta bien./,Ella canta bien.,Elle chante bien.,/eʝa kanta bien./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
31,nous,nosotros,/nosotɾos/,/nosotɾos/,Nosotros amamos la música.,Nous aimons la musique.,/nosotɾos amamos la musika./,Nosotros amamos la música.,Nous aimons la musique.,/nosotɾos amamos la musika./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
